"Congratulations.  Your facebook account is now connected with our store.","Herzlichen Glückwunsch. Sie sind nun über Facebook mit unserem Shop verbunden."
"You can edit your shipping addresses in your account page.","Sie können Ihre Lieferadresse in Ihrem Benutzerkonto ändern."
"<li>Edit your shipping address: <a href=""%s"">click here.</a></li>","<li>Editieren Sie Ihre Lieferadresse: <a href=""%s"">Bitte hier klicken</a></li>"
"<li>Add your e-mail: <a href=""%s"">click here.</a></li>","<li>Fügen Sie Ihre Email Adresse zu: <a href=""%"s"">Bitte hier klicken</a></li>"
"<li>Or allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a></li>","<li>Uns zu erlauben Ihnen über Facebook Mitteilungen zu senden: <a target=""_blank"" href=""%s"">Bitte hier klicken</a></li>"
"Welcome, %s!","Herzlich willkommen, %s!"
"Welcome back, %s!","Willkommen zurück, %s!"
"Allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>","Uns zu erlauben Sie via Facebook zu kontaktieren: <a target=""_blank"" href=""%s"">Bitte hier klicken</a>"
"If you previously used Facebook connect, click below.","Falls Sie schon unseren Facebook Login benutzt haben, loggen Sie sich bitte hier ein."
"Use your Facebook account for super-fast logins.","Benutzen Sie Ihren Facebook Login - schnell und unkompliziert!"
