"Congratulations.  Your facebook account is now connected with our store.","Félicitations. Votre compte facebook est désormais connecté à notre boutique."
"You can edit your shipping addresses in your account page.","Vous pouvez éditer votre adresse de livraison sur la page de votre compte."
"Edit your shipping address: <a href=""%s"">click here.</a>","Editez votre adresse de livraison: <a href=""%s"">cliquez ici.</a>"
"Add your e-mail: <a href=""%s"">click here.</a>","Ajoutez votre email: <a href=""%""s"">cliquez ici.</a>"
"Or allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>","Ou autorisez nous à vous envoyez des emails via Facebook: <a target=""_blank"" href=""%s"">cliquez ici.</a>"
"Welcome, %s!","Bienvenue, %s!"
"Welcome back, %s!","Bienvenue, %s!"
"Allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>","Autorisez nous à vous envoyez des emails via Facebook: <a target=""_blank"" href=""%s"">cliquez ici.</a>"
"If you previously used Facebook connect, click below.","Si vous avez déjà utilisé Facebook Connect, cliquez ci dessous."
"If you already have an account you can connect it with Facebook from your account page.","If you already have an account you can connect it with Facebook from your account page."
"Use your Facebook account for super-fast logins.","Utilisez votre compte Facebook pour une identification super rapide."

;admin screens
"Enable Facebook Connect features","Enable Facebook Connect features"
"API Key","API Key"
"App Secret","App Secret"

;FB notification
"Visit your account.","Visit your account."

;account page
"Connect to an existing Account","Connect to an existing Account"
"Enter your current username and password to connect your Facebook account with a previously registered account.","Enter your current username and password to connect your Facebook account with a previously registered account."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"

"Email Connect","Email Connect"
"Here you can elect to receive full emails from our store to your normal email account via Facebook. At any time you can turn off the ability to receive emails.","Here you can elect to receive full emails from our store to your normal email account via Facebook. At any time you can turn off the ability to receive emails."
"Change your Facebook email connect settings: <a target="_blank" href="%s">click here.</a>","Change your Facebook email connect settings: <a target="_blank" href="%s">click here.</a>"
